"yyyy","mm","day","HH_UTC","MM","zm","d","z0","u_mean","L","sigma_v","u_star","wind_dir"
2021,7,23,0,0,1.84,0.0067,-999,-1.29705,-39.8319,0.516578164463037,0.153539,346.105
2021,7,23,0,30,1.84,0.0067,-999,-1.40733,-51.8159,0.504405590769968,0.186822,343.841
2021,7,23,1,0,1.84,0.0067,-999,-1.22707,-48.8344,0.429068759058499,0.167047,344.745
2021,7,23,1,30,1.84,0.0067,-999,-1.06376,-9.91908,0.419957140670331,0.110734,342.636
2021,7,23,2,0,1.84,0.0067,-999,-1.36945,-21.9047,0.3826055409949,0.132164,338.259
2021,7,23,2,30,1.84,0.0067,-999,-1.26215,-19.0065,0.435562854247237,0.130676,341.295
2021,7,23,3,0,1.84,0.0067,-999,-1.03588,-31.8751,0.451043235178181,0.162332,349.258
2021,7,23,3,30,1.84,0.0067,-999,-0.745544,-29.7168,0.469539135749087,0.152709,15.4798
2021,7,23,4,0,1.84,0.0067,-999,-0.996044,-18.5133,0.494246901861812,0.138782,352.229
2021,7,23,4,30,1.84,0.0067,-999,-0.967003,-3.97204,0.353694783676548,0.0794627,344.195
2021,7,23,5,0,1.84,0.0067,-999,-0.905308,-5.3386,0.38094750294496,0.0896516,350.118
2021,7,23,5,30,1.84,0.0067,-999,-0.778771,-6.23518,0.379357351319307,0.0933115,353.652
2021,7,23,6,0,1.84,0.0067,-999,-0.648827,-13.2038,0.336472881522419,0.104874,344.378
2021,7,23,6,30,1.84,0.0067,-999,-0.486254,-18.4942,0.338020709424733,0.121783,10.6354
2021,7,23,7,0,1.84,0.0067,-999,-0.436735,-6.95736,0.384387824989294,0.110352,30.1261
2021,7,23,7,30,1.84,0.0067,-999,-0.530679,-6.46057,0.423328477662441,0.11431,35.7395
2021,7,23,8,0,1.84,0.0067,-999,-0.943047,-16.8001,0.706314377596832,0.175808,11.6049
2021,7,23,8,30,1.84,0.0067,-999,-0.766487,-8.30827,0.539922216620135,0.158937,35.2933
2021,7,23,9,0,1.84,0.0067,-999,-0.590531,-15.6661,0.708827200381024,0.208093,64.5442
2021,7,23,9,30,1.84,0.0067,-999,-0.763657,-11.8357,0.733848758260174,0.229949,67.989
2021,7,23,10,0,1.84,0.0067,-999,-1.06996,-18.6187,1.01364194861894,0.253794,44.3553
2021,7,23,10,30,1.84,0.0067,-999,-0.706958,-14.7439,0.933824394626741,0.244908,57.0994
2021,7,23,11,0,1.84,0.0067,-999,-0.959239,-9.90539,1.06838663413579,0.214293,27.3703
2021,7,23,11,30,1.84,0.0067,-999,-0.936026,-9.56068,0.858387441660233,0.229348,41.3866
2021,7,23,12,0,1.84,0.0067,-999,-0.537477,-16.1412,1.12128051797933,0.283121,30.0068
2021,7,23,12,30,1.84,0.0067,-999,-0.521061,-3.45755,0.954428624885067,0.17168,59.5098
2021,7,23,13,0,1.84,0.0067,-999,-0.535652,-3.14449,1.01182508369777,0.171245,40.0536
2021,7,23,13,30,1.84,0.0067,-999,-0.937833,-8.12435,1.09893584890111,0.242906,29.5747
2021,7,23,14,0,1.84,0.0067,-999,-0.179011,-3.79061,0.998902397634524,0.180038,80.9735
2021,7,23,14,30,1.84,0.0067,-999,-0.71892,-4.49016,1.15514934099449,0.207204,52.2255
2021,7,23,15,0,1.84,0.0067,-999,-0.6757,-0.274858,1.19610618257745,0.0802882,44.2613
2021,7,23,15,30,1.84,0.0067,-999,-0.468951,-2.69417,1.28700038850033,0.168017,51.5824
2021,7,23,16,0,1.84,0.0067,-999,-0.718918,-8.42165,0.865985565699568,0.24533,58.3193
2021,7,23,16,30,1.84,0.0067,-999,-0.635904,-7.51532,0.944633262171093,0.247232,68.7538
2021,7,23,17,0,1.84,0.0067,-999,-0.686447,-3.82059,1.05335179308719,0.189076,38.893
2021,7,23,17,30,1.84,0.0067,-999,-0.856126,-4.68043,0.773462992004142,0.189444,53.0716
2021,7,23,18,0,1.84,0.0067,-999,-1.09226,-8.26602,1.19965411681868,0.223719,43.3555
2021,7,23,18,30,1.84,0.0067,-999,-0.965316,-8.81313,0.850356395871754,0.223242,54.9127
2021,7,23,19,0,1.84,0.0067,-999,-1.13755,-11.7892,0.998626556826925,0.226366,47.0503
2021,7,23,19,30,1.84,0.0067,-999,-1.1834,-14.3104,0.827554227830418,0.238151,47.1615
2021,7,23,20,0,1.84,0.0067,-999,-1.25935,-25.5987,0.920321139602911,0.264787,46.745
2021,7,23,20,30,1.84,0.0067,-999,-1.33792,-30.8728,0.763885462618579,0.256374,41.9336
2021,7,23,21,0,1.84,0.0067,-999,-1.17937,-26.4893,0.788409791922957,0.228069,39.0192
2021,7,23,21,30,1.84,0.0067,-999,-1.16325,-25.365,0.602233343480748,0.192037,46.2862
2021,7,23,22,0,1.84,0.0067,-999,-0.893227,-15.8728,0.548070250971534,0.148447,50.3264
2021,7,23,22,30,1.84,0.0067,-999,-0.880794,-21.0322,0.514578468263102,0.174119,50.8009
2021,7,23,23,0,1.84,0.0067,-999,-0.902218,-26.1242,0.50622228319188,0.160201,45.0102
2021,7,23,23,30,1.84,0.0067,-999,-1.00085,-23.5713,0.594621728496361,0.182941,47.0713
2021,7,24,0,0,1.84,0.0067,-999,-0.83834,-45.8995,0.521362637710068,0.211948,57.5169
2021,7,24,0,30,1.84,0.0067,-999,-0.728051,-48.3213,0.453180979300765,0.203287,58.7414
2021,7,24,1,0,1.84,0.0067,-999,-0.645923,-46.9334,0.421381062697412,0.1958,61.6942
2021,7,24,1,30,1.84,0.0067,-999,-0.733055,-35.942,0.428269774791544,0.195736,56.5837
2021,7,24,2,0,1.84,0.0067,-999,-0.651123,-54.3969,0.413250529340254,0.195809,65.7569
